restaurant_name,restaurant_rating,restaurant_review_count,restaurant_price,restaurant_cuisine,restaurant_promotion,restaurant_booked_times,restaurant_remaining_timeslots,restaurant_special_offers
Buckland Manor,4.4,(49),$$$$,• British • Broadway,,Booked 7 times today Top experience,Booked 7 times today Top experience,Afternoon Tea
Mulberry Tree,4.4,(859),$$$$,• British • Malvern,,Booked 3 times today,Booked 3 times today,
Smith's of Bourton,4.7,(606),$$$$,• Burgers • Bourton-on-the-Water,,Booked 21 times today,Booked 21 times today,
Revo Kitchen and Terrace,4.1,(394),$$$$,• Café • Weston-Super-Mare,,Booked 4 times today,Booked 4 times today,
The Cat and Custard Pot,4.5,(969),$$$$,• British • Tetbury,,Booked 8 times today You're in luck! We still have 4 timeslots left,Booked 8 times today You're in luck! We still have 4 timeslots left,
Yakitori1,4.8,(1035),$$$$,• Japanese • Cardiff,,Booked 10 times today,Booked 10 times today,
The Slaughters Country Inn Restaurant & Bar,4.1,(99),$$$$,• Contemporary British • Upper Slaughter,,Booked 12 times today,Booked 12 times today,
Maaya,3.0,(1),$$$$,• Indian • Bath,,Top experience,Top experience,Sharing menu for 2 - £49.95
The Fox at Barrington,4.5,(434),$$$$,• Pub • Burford,,Booked 17 times today,Booked 17 times today,
Slug & Lettuce - Bath,2.6,(6),$$$$,• International • Bath,,,,
Bill's Restaurant & Bar - Cardiff Bay,4.4,(1601),$$$$,• British • Cardiff,,Booked 40 times today,Booked 40 times today,
Côte Brasserie - Cheltenham,4.6,(93),$$$$,• French • Cheltenham,,Booked 22 times today,Booked 22 times today,
The White Horse Inn,4.2,(32),$$$$,• British • Wellington,,Booked 3 times today,Booked 3 times today,
Bill's Restaurant & Bar - Gloucester Quays,4.4,(901),$$$$,• British • Gloucester,,Booked 13 times today,Booked 13 times today,
Elote Tacos,4.3,(72),$$$$,• Mexican • Gloucester,,Booked 3 times today You're in luck! We still have 3 timeslots left,Booked 3 times today You're in luck! We still have 3 timeslots left,
The Canon - Bath,4.5,(1),$$$$,• Pub • Bath,,,,
KOKO,5.0,(11),$$$$,• Cocktail Bar • Tetbury,,,,
Henry's Cafe Bar Cardiff,3.3,(24),$$$$,• Gastro Pub • Cardiff,,,,
Amore Italian Restaurant - Hungerford,4.8,(488),$$$$,• Italian • Hungerford,,Booked 11 times today,Booked 11 times today,
Nant Ddu Lodge,4.3,(212),$$$$,• British • Merthyr Tydfil,,Booked 6 times today,Booked 6 times today,
The Bay Restaurant,,(0),$$$$,• Modern European • Cardiff,,,,
Macready's,4.4,(19),$$$$,• British • Sherborne,,Booked 11 times today Top experience,Booked 11 times today Top experience,Dinner
Pen & Wig Cardiff,4.5,(17),$$$$,• British • Cardiff,,,,
Afternoon Tea at Ellenborough Park,4.6,(9),$$$$,• Afternoon Tea • Cheltenham,,Booked 4 times today You're in luck! We still have 2 timeslots left,Booked 4 times today You're in luck! We still have 2 timeslots left,
Masons Arms,4.6,(118),$$$$,• Pub • Bath,,Booked 1 time today You're in luck! We still have 2 timeslots left,Booked 1 time today You're in luck! We still have 2 timeslots left,
Côte Brasserie - Cirencester,4.3,(78),$$$$,• French • Cirencester,,Booked 23 times today,Booked 23 times today,
The Foxham,4.7,(477),$$$$,• Gastro Pub • Chippenham,,Booked 4 times today,Booked 4 times today,
Court Brasserie at Stonehouse Court,3.9,(274),$$$$,• British • Stroud,,Booked 2 times today You're in luck! We still have 4 timeslots left Top experience,Booked 2 times today You're in luck! We still have 4 timeslots left Top experience,Court Brasserie
Royal Oak Winsford Limited,4.8,(66),$$$$,• British • Winsford,,Booked 1 time today,Booked 1 time today,
Téatro,4.1,(846),$$$$,• British • Cirencester,,Booked 6 times today Top experience,Booked 6 times today Top experience,Pre-Theatre Dining
Spice Village,4.7,(1),$$$$,• Indian • Cardiff,,,,
Pokhara,4.7,(6),$$$$,• Nepalese • Laleston,,Booked 1 time today,Booked 1 time today,
Bella Mia Pizza at No.1,4.7,(169),$$$$,• Pizzeria • Gloucester,,Booked 2 times today,Booked 2 times today,
Cricklade House Hotel,4.0,(106),$$$$,• International • Swindon,,Booked 1 time today You're in luck! We still have 4 timeslots left,Booked 1 time today You're in luck! We still have 4 timeslots left,
Chaplais Kitchen,4.4,(112),$$$$,• European • Cheltenham,,Booked 1 time today,Booked 1 time today,
The Glasshouse at Holloways,4.3,(75),$$$$,• Café • Suckley,,Booked 1 time today You're in luck! We still have 1 timeslot left Top experience,Booked 1 time today You're in luck! We still have 1 timeslot left Top experience,Afternoon Tea with Bubbles (requires 24hr notice)
Côte Brasserie - Salisbury,4.5,(86),$$$$,• French • Salisbury,,Booked 33 times today,Booked 33 times today,
EN Steak Hereford,4.5,(151),$$$$,• Steak • Hereford,,Booked 15 times today,Booked 15 times today,
Lordleaze Hotel,4.7,(195),$$$$,• British • Chard,,Booked 2 times today You're in luck! We still have 4 timeslots left,Booked 2 times today You're in luck! We still have 4 timeslots left,
Pho Cheltenham,4.2,(501),$$$$,• Vietnamese • Cheltenham,,Booked 7 times today,Booked 7 times today,
The Lamb Inn,,,$$$$,• Gastro Pub • Nether Westcote,,Booked 5 times today,Booked 5 times today,
Lamb & Lion Bath,3.6,(3),$$$$,• British • Bath,,You're in luck! We still have 3 timeslots left,You're in luck! We still have 3 timeslots left,
The Regent Weston-Super-Mare,,(0),$$$$,• British • Weston-Super-Mare,,You're in luck! We still have 3 timeslots left,You're in luck! We still have 3 timeslots left,
TAMALA TASTE OF INDIA,5.0,(1),$$$$,• Indian • Weston-Super-Mare,,Booked 1 time today,Booked 1 time today,
"Crown, Marnhull",4.6,(10),$$$$,• Pub • Sturminster Newton,,Booked 4 times today,Booked 4 times today,
The Pilot Inn,4.2,(9),$$$$,• British • Gloucester,,Booked 5 times today,Booked 5 times today,
The Snooty Mehmaan,4.9,(845),$$$$,• Indian • Faringdon,,Booked 4 times today,Booked 4 times today,
The Lamb Inn - Eastcombe,4.3,(124),$$$$,• Pub • Stroud,,Booked 1 time today,Booked 1 time today,
Gassy's - Cardiff,4.0,(0),$$$$,• British • Cardiff,,You're in luck! We still have 2 timeslots left,You're in luck! We still have 2 timeslots left,
Guyers House - The Restaurant,4.0,(6),$$$$,• Contemporary British • Corsham,,,,
Qudos,4.6,(240),$$$$,• Bistro • Salisbury,,Booked 1 time today,Booked 1 time today,
The Pelican,4.0,(498),$$$$,• Pub • Marlborough,,Booked 4 times today,Booked 4 times today,
The Bridge Tap Salisbury,4.0,(1),$$$$,• British • Salisbury,,,,
Cornhill Bridgwater,3.0,(2),$$$$,• British • Bridgwater,,,,
The Brasserie at Gloucester Robinswood Hotel,4.0,(25),$$$$,• English • Gloucester,,Booked 1 time today,Booked 1 time today,
Owain Glyndwr Cardiff,3.9,(8),$$$$,• British • Cardiff,,Booked 1 time today,Booked 1 time today,
Abbey Gloucester,2.0,(1),$$$$,• British • Gloucester,,,,
Goddard Arms Swindon,3.6,(6),$$$$,• Gastro Pub • Swindon,,,,
DoubleTree by Hilton Cheltenham,3.0,(2),$$$$,• British • Cheltenham,,,,
Walkabout Cardiff,2.3,(5),$$$$,• Australian • Cardiff,,,,
Aldwyn's at Ellerslie,4.0,(6),$$$$,• British • Malvern,,You're in luck! We still have 2 timeslots left,You're in luck! We still have 2 timeslots left,
Woodville - Cardiff,4.5,(0),$$$$,• British • Cardiff,,Booked 1 time today,Booked 1 time today,
Slug & Lettuce - Cardiff Central,2.6,(3),$$$$,• International • Cardiff,,,,
The Seven Stars,4.4,(274),$$$$,• British • Ledbury,,Booked 1 time today,Booked 1 time today,
Railway Hotel Penarth,,(0),$$$$,• British • Cardiff,,,,
Cross Keys Inn Wootton Bassett,5.0,(4),$$$$,• British • Royal Wootton Bassett,,,,
The Cricketers,4.5,(288),$$$$,• Pub • Poole,,Booked 5 times today,Booked 5 times today,
Hunters Lodge Bridgend,4.8,(1),$$$$,• British • Bridgend Town Center,,Booked 1 time today,Booked 1 time today,
Mackintosh Hotel Cardiff,,(0),$$$$,• British • Cardiff,,,,
Church Inn Llanishen,4.5,(5),$$$$,• British • Cardiff,,,,
Whittle Taps Cheltenham,4.0,(1),$$$$,• British • Cheltenham,,,,
Kings Arms Caerphilly,,(0),$$$$,• British • Caerphilly Town Center,,,,
Cricklade House Foot Golf,,(0),$$$$,• International • Cricklade,,Top experience,Top experience,Footie Golf Play
"Slug & Lettuce Cardiff, The Friary",2.7,(13),$$$$,• International • Cardiff,,,,
The Imperial Inn Hereford Classic Inns,1.0,(1),$$$$,• British • Hereford,,,,
Pen Mill Hotel,4.8,(2056),$$$$,• British • Yeovil,,Booked 21 times today,Booked 21 times today,
Villaggio Lakeside,4.7,(574),$$$$,• Italian • Cardiff,,Booked 16 times today,Booked 16 times today,
Santiago's Tapas Cardiff,4.2,(835),$$$$,• Tapas / Small Plates • Cardiff,,Booked 9 times today,Booked 9 times today,
Smith's of Bourton,4.7,(606),$$$$,• Burgers • Bourton-on-the-Water,,Booked 21 times today,Booked 21 times today,
Revo Kitchen and Terrace,4.1,(394),$$$$,• Café • Weston-Super-Mare,,Booked 4 times today,Booked 4 times today,
The Fox at Barrington,4.5,(434),$$$$,• Pub • Burford,,Booked 17 times today,Booked 17 times today,
Côte Brasserie - Cheltenham,4.6,(93),$$$$,• French • Cheltenham,,Booked 22 times today,Booked 22 times today,
The White Horse Inn,4.2,(32),$$$$,• British • Wellington,,Booked 3 times today,Booked 3 times today,
Elote Tacos,4.3,(72),$$$$,• Mexican • Gloucester,,Booked 3 times today You're in luck! We still have 3 timeslots left,Booked 3 times today You're in luck! We still have 3 timeslots left,
KOKO,5.0,(11),$$$$,• Cocktail Bar • Tetbury,,,,
Côte Brasserie - Cirencester,4.3,(78),$$$$,• French • Cirencester,,Booked 23 times today,Booked 23 times today,
Téatro,4.1,(846),$$$$,• British • Cirencester,,Booked 6 times today Top experience,Booked 6 times today Top experience,Pre-Theatre Dining
Cricklade House Hotel,4.0,(106),$$$$,• International • Swindon,,Booked 1 time today You're in luck! We still have 4 timeslots left,Booked 1 time today You're in luck! We still have 4 timeslots left,
Côte Brasserie - Salisbury,4.5,(86),$$$$,• French • Salisbury,,Booked 33 times today,Booked 33 times today,
Pho Cheltenham,4.2,(501),$$$$,• Vietnamese • Cheltenham,,Booked 7 times today,Booked 7 times today,
The Lamb Inn - Eastcombe,4.3,(124),$$$$,• Pub • Stroud,,Booked 1 time today,Booked 1 time today,
DoubleTree by Hilton Cheltenham,3.0,(2),$$$$,• British • Cheltenham,,,,
Pen Mill Hotel,4.8,(2056),$$$$,• British • Yeovil,,Booked 21 times today,Booked 21 times today,
Villaggio Lakeside,4.7,(574),$$$$,• Italian • Cardiff,,Booked 16 times today,Booked 16 times today,
Santiago's Tapas Cardiff,4.2,(835),$$$$,• Tapas / Small Plates • Cardiff,,Booked 9 times today,Booked 9 times today,
Smith's of Bourton,4.7,(606),$$$$,• Burgers • Bourton-on-the-Water,,Booked 21 times today,Booked 21 times today,
Revo Kitchen and Terrace,4.1,(394),$$$$,• Café • Weston-Super-Mare,,Booked 4 times today,Booked 4 times today,
The Fox at Barrington,4.5,(434),$$$$,• Pub • Burford,,Booked 17 times today,Booked 17 times today,
Côte Brasserie - Cheltenham,4.6,(93),$$$$,• French • Cheltenham,,Booked 22 times today,Booked 22 times today,
The White Horse Inn,4.2,(32),$$$$,• British • Wellington,,Booked 3 times today,Booked 3 times today,
Elote Tacos,4.3,(72),$$$$,• Mexican • Gloucester,,Booked 3 times today You're in luck! We still have 3 timeslots left,Booked 3 times today You're in luck! We still have 3 timeslots left,
KOKO,5.0,(11),$$$$,• Cocktail Bar • Tetbury,,,,
Côte Brasserie - Cirencester,4.3,(78),$$$$,• French • Cirencester,,Booked 23 times today,Booked 23 times today,
Téatro,4.1,(846),$$$$,• British • Cirencester,,Booked 6 times today Top experience,Booked 6 times today Top experience,Pre-Theatre Dining
Cricklade House Hotel,4.0,(106),$$$$,• International • Swindon,,Booked 1 time today You're in luck! We still have 4 timeslots left,Booked 1 time today You're in luck! We still have 4 timeslots left,
Côte Brasserie - Salisbury,4.5,(86),$$$$,• French • Salisbury,,Booked 33 times today,Booked 33 times today,
Pho Cheltenham,4.2,(501),$$$$,• Vietnamese • Cheltenham,,Booked 7 times today,Booked 7 times today,
The Lamb Inn - Eastcombe,4.3,(124),$$$$,• Pub • Stroud,,Booked 1 time today,Booked 1 time today,
DoubleTree by Hilton Cheltenham,3.0,(2),$$$$,• British • Cheltenham,,,,
Pen Mill Hotel,4.8,(2056),$$$$,• British • Yeovil,,Booked 21 times today,Booked 21 times today,
Villaggio Lakeside,4.7,(574),$$$$,• Italian • Cardiff,,Booked 16 times today,Booked 16 times today,
Santiago's Tapas Cardiff,4.2,(835),$$$$,• Tapas / Small Plates • Cardiff,,Booked 9 times today,Booked 9 times today,
Smith's of Bourton,4.7,(606),$$$$,• Burgers • Bourton-on-the-Water,,Booked 21 times today,Booked 21 times today,
Revo Kitchen and Terrace,4.1,(394),$$$$,• Café • Weston-Super-Mare,,Booked 4 times today,Booked 4 times today,
The Fox at Barrington,4.5,(434),$$$$,• Pub • Burford,,Booked 17 times today,Booked 17 times today,
Côte Brasserie - Cheltenham,4.6,(93),$$$$,• French • Cheltenham,,Booked 22 times today,Booked 22 times today,
The White Horse Inn,4.2,(32),$$$$,• British • Wellington,,Booked 3 times today,Booked 3 times today,
Elote Tacos,4.3,(72),$$$$,• Mexican • Gloucester,,Booked 3 times today You're in luck! We still have 3 timeslots left,Booked 3 times today You're in luck! We still have 3 timeslots left,
KOKO,5.0,(11),$$$$,• Cocktail Bar • Tetbury,,,,
Côte Brasserie - Cirencester,4.3,(78),$$$$,• French • Cirencester,,Booked 23 times today,Booked 23 times today,
Téatro,4.1,(846),$$$$,• British • Cirencester,,Booked 6 times today Top experience,Booked 6 times today Top experience,Pre-Theatre Dining
Cricklade House Hotel,4.0,(106),$$$$,• International • Swindon,,Booked 1 time today You're in luck! We still have 4 timeslots left,Booked 1 time today You're in luck! We still have 4 timeslots left,
Côte Brasserie - Salisbury,4.5,(86),$$$$,• French • Salisbury,,Booked 33 times today,Booked 33 times today,
Pho Cheltenham,4.2,(501),$$$$,• Vietnamese • Cheltenham,,Booked 7 times today,Booked 7 times today,
The Lamb Inn - Eastcombe,4.3,(124),$$$$,• Pub • Stroud,,Booked 1 time today,Booked 1 time today,
DoubleTree by Hilton Cheltenham,3.0,(2),$$$$,• British • Cheltenham,,,,
Pen Mill Hotel,4.8,(2056),$$$$,• British • Yeovil,,Booked 21 times today,Booked 21 times today,
